Year,Code,Industry,Jan. 2022,Feb. 2022,Mar. 2022,Apr. 2022,May 2022,Jun. 2022,Jul. 2022,Aug. 2022,Sep. 2022,Oct. 2022,Nov. 2022,Dec. 2022,TOTAL,
2023,441,Motor vehicle and parts dealers,"132,820","131,337","129,662","130,767","132,976","133,682","133,333","133,786","135,260","133,940","135,006",,,
2023,"4411,4412",Automobile and other motor vehicle dealers,"122,156","120,491","119,106","119,780","121,840","122,397","122,014","122,447","123,828","122,435","123,460",,,
2023,4413,"Automotive parts, acc., and tire stores","10,664","10,846","10,556","10,987","11,136","11,285","11,319","11,339","11,432","11,505","11,546",,,
2023,"442,443","Furniture, home furn, electronics, and appliance stores","20,275","19,445","19,112","18,797","18,820","19,020","18,758","18,698","18,676","18,486","18,599",,,
2023,442,Furniture and home furnishings stores,"12,531","11,715","11,418","11,172","11,083","11,258","11,073","10,907","10,877","10,642","10,897",,,
2023,443,Electronics and appliance stores,"7,744","7,730","7,694","7,625","7,737","7,762","7,685","7,791","7,799","7,844","7,702",,,
2023,444,Building mat. and garden equip. and supplies dealers,"42,845","42,910","41,391","41,348","41,937","41,391","41,440","41,641","41,501","41,554","41,495",,,
2023,4441,Building mat. and supplies dealers,"36,942","36,897","35,652","35,474","35,955","35,473","35,533","35,752","35,507","35,591","35,541",,,
2023,445,Food and beverage stores,"81,794","82,144","81,888","81,778","81,788","81,463","82,007","82,292","82,623","82,744","82,924",,,
2023,4451,Grocery stores,"73,398","73,865","73,731","73,535","73,414","73,118","73,632","73,977","74,204","74,262","74,416",,,
2023,4453,"Beer, wine and liquor stores","6,070","5,952","5,880","5,976","6,028","5,972","5,993","5,948","6,017","6,046","6,046",,,
2023,446,Health and personal care stores,"34,576","35,131","35,251","35,542","35,928","36,020","36,042","36,567","36,891","37,389","37,310",,,
2023,44611,Pharmacies and drug stores,"28,514","28,924","29,283","29,403","29,847","29,946","29,860","30,392","30,669","31,450","31,239",,,
2023,447,Gasoline stations,"56,489","55,484","54,993","54,426","52,824","52,499","52,652","56,204","56,747","55,783","53,861",,,
2023,448,Clothing and clothing access. stores,"26,599","25,941","25,616","25,652","25,697","25,736","26,052","26,314","25,995","25,958","26,217",,,
2023,4481,Clothing stores,"18,908","18,764","18,466","18,447","18,416","18,419","18,811","19,078","18,901","18,723","18,885",,,
2023,44811,Men's clothing stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),,,
